,claim_id,description,post_id,content,keywords_type,class
0,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",84ff2662-93f0-39b2-9d55-d1b7960ecac0,"₦600*120,000 = ₦ 72,000,000 /day Keke Marwa ₦1000* 120,000= ₦120,000,000 /day Danfo+Molue ₦3000*250,000= ₦ 750,000,000/day Illegal tax at stake per day in Lagos is. ₦ 942 million /day The Agberos in Lagos stand to cash out. (₦72m + ₦120m + ₦ 750,000) *",manual,irrelevant
1,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",7d4a543f-2070-37b6-9ade-3baae4335fa0,The ₦282.6 billion IGR Lagos State Transport Sector ceded out illegally. The Lagos Agberos money spinning kalokalo. You are wondering why Lagos Agberos can have 9 kids showing off in Atlanta Georgia. The Average illegal tax on Bike in Lagos is ₦600/day sampling,manual,irrelevant
2,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",b6353bcf-c1f0-3c86-8394-ccd53f0054de,"Over 600 illegals are CAUGHT, everyday here in McAllen. Many are not, many with drugs. Those numbers arent counted because theyre not caught, i research enough to know what im talking about in something i want to work for",manual,irrelevant
3,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",658fb613-f15b-36ea-8d53-f7c19c509257,FALL ON 600 ILLEGAL WORKERS WHO WORK THIS COMPANY.,manual,irrelevant
4,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",59440787-ad25-338f-bd80-87e0ea69a265,"Exactly. I even saw one person screenshotting the go fund me account they made for themselves. They raised 600 dollars to go to the funeral...who contributed to that? They obviously aren't really going, so I think it's actually illegal for them to be doing that.",manual,irrelevant
5,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",1fd45313-cf03-30c3-9bab-bb9c41f4819d,So 600 trips to a space hotel = 1 border wall downpayment. Both would be equally effective at stopping illegal immigration.,manual,irrelevant
6,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",b2e67bca-57d3-33e1-ad5d-48663252e3de,"Everywhere a wall was built has cut down on illegal crossings by 90%. ineffective, I beg to differ.",manual,irrelevant
7,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",ae5db99b-108e-3473-861a-5ab13fc83d4b,"Numbers sneaking across the border have dropped from 1,600,000 in 2000 to 300,000 in 2017 without a wall. Your vanity project is not needed, nor will it have much effect on drugs or illegals. # TrumpShutdown # ReleaseTheTrumpHostages # PutinsPuppet # TrumpRussianAsset # EndTheShutdownpic.twitter.com/VE6itrIKFv",manual,irrelevant
8,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",022d256a-64c7-3cf3-9138-a24ef235fcae,"The wall has lots of support too. I live in a border state and we are feeling the costs of illegal immigration in our healthcare costs (premiums are $1580 a month w/$15,600 deductible before 80/20 Obamacare) car insurance, homeowners, etc... We also have a drug epidemic.",manual,irrelevant
9,f16c0405-54d4-310e-baf7-599817a73e4e,"Says Texas has ""had over 600,000 crimes committed by illegals since 2011. Over 1,200 homicides.""",73e9030d-bb19-3743-93b7-6b097d0591f2,Has the idea of stopping illegal border crossers ever entered your mind?,manual,irrelevant
